%in ordine crescente di diametro
%Ds[m]	Dt[s]

0.050	& 27.058 \\
0.100	& 54.407 \\
0.150	& 81.815 \\
0.200	& 109.326 \\
0.250	& 136.876 \\
0.300	& 164.583 \\
0.350	& 192.123 \\
0.400	& 219.918 \\
0.450	& 247.312 \\
0.500	& 275.332 \\

0.050	& 16.284 \\
0.100	& 32.617 \\
0.150	& 49.019 \\
0.200	& 65.502 \\
0.250	& 82.059 \\
0.300	& 98.850 \\
0.350	& 115.129 \\
0.400	& 131.767 \\
0.450	& 148.308 \\
0.500	& 164.957 \\

0.050	& 11.774 \\
0.100	& 23.638 \\
0.150	& 35.659 \\
0.200	& 47.576 \\
0.250	& 59.426 \\
0.300	& 71.461 \\
0.350	& 83.439 \\
0.400	& 95.501 \\
0.450	& 107.567 \\
0.500	& 119.738 \\

0.050	& 6.173 \\
0.100	& 12.532 \\
0.150	& 18.943 \\
0.200	& 25.360 \\
0.250	& 31.795 \\
0.300	& 38.240 \\
0.350	& 44.732 \\
0.400	& 51.138 \\
0.450	& 57.642 \\
0.500	& 64.204 \\

0.050	& 2.370 \\
0.100	& 5.040 \\
0.150	& 7.660 \\
0.200	& 10.404 \\
0.250	& 13.051 \\
0.300	& 15.773 \\
0.350	& 18.510 \\
0.400	& 21.247 \\
0.450	& 23.976 \\
0.500	& 26.730 \\

0.050	& 1.018 \\
0.100	& 2.863 \\
0.150	& 4.644 \\
0.200	& 6.537 \\
0.250	& 8.332 \\
0.300	& 10.193 \\
0.350	& 12.056 \\
0.400	& 13.878 \\
0.450	& 15.739 \\
0.500	& 17.634 \\

0.050	& 0.069 \\
0.100	& 1.370 \\
0.150	& 2.676 \\
0.200	& 3.982 \\
0.250	& 5.246 \\
0.300	& 6.561 \\
0.350	& 7.849 \\
0.400	& 9.120 \\
0.450	& 10.454 \\
0.500	& 11.791 \\

0.050	& 0.087 \\
0.100	& 0.561 \\
0.150	& 1.267 \\
0.200	& 2.224 \\
0.250	& 3.049 \\
0.300	& 3.899 \\
0.350	& 4.764 \\
0.400	& 5.583 \\
0.450	& 6.419 \\
0.500	& 7.310 \\
